host_unix_time_s,elapsed_s,battery_pct,yaw_deg,pitch_deg,roll_deg,wheel_1_rpm,wheel_2_rpm,wheel_3_rpm,wheel_4_rpm
1790246074.076123,0.130278,,,,,,,,
1790246074.076246,0.130405,,,,,,,,
1790246074.531737,0.585894,74,-149.49,2.59,14.27,-5,1,-3,-4
1790246074.632975,0.687132,74,-149.49,2.59,14.27,1,2,-5,1
1790246074.734099,0.788256,74,-149.49,2.59,14.26,0,2,-3,-1
1790246074.834141,0.888296,74,-149.49,2.59,14.27,-7,3,1,-4
1790246074.931946,0.986103,74,-149.49,2.59,14.26,4,0,0,3
1790246075.031924,1.086080,74,-149.49,2.59,14.26,1,6,-5,-4
1790246075.131941,1.186097,74,-149.49,2.59,14.26,2,-3,5,-3
1790246075.231955,1.286110,74,-149.49,2.59,14.27,-2,-2,-4,3
1790246075.331913,1.386070,74,-149.49,2.59,14.26,-5,1,-4,1
1790246075.431947,1.486104,74,-149.49,2.59,14.26,-4,-5,2,4
1790246075.531904,1.586060,74,-149.49,2.59,14.26,3,-1,0,-3
1790246075.631932,1.686087,74,-149.49,2.59,14.26,2,0,1,3
1790246075.731863,1.786021,74,-149.49,2.59,14.27,1,-1,1,1
1790246075.831872,1.886032,74,-149.49,2.59,14.26,-1,-2,1,0
1790246075.931851,1.986008,74,-149.49,2.59,14.27,-2,-1,-6,2
1790246076.031895,2.086050,74,-149.49,2.59,14.27,-4,-2,-2,-1
1790246076.131910,2.186066,74,-149.49,2.59,14.26,1,-2,0,-1
1790246076.231935,2.286092,74,-149.49,2.59,14.26,6,1,5,-3
1790246076.331911,2.386067,74,-149.49,2.59,14.26,3,-2,1,1
1790246076.431945,2.486102,74,-149.49,2.59,14.26,5,6,-8,-1
1790246076.532029,2.586184,74,-149.49,2.59,14.26,-2,-1,0,-4
1790246076.631883,2.686041,74,-149.49,2.6,14.26,2,-2,0,-4
1790246076.731831,2.785991,74,-149.49,2.59,14.26,3,6,-3,-1
1790246076.831900,2.886056,74,-149.49,2.59,14.26,-9,-1,0,0
