host_unix_time_s,elapsed_s,battery_pct,yaw_deg,pitch_deg,roll_deg,wheel_1_rpm,wheel_2_rpm,wheel_3_rpm,wheel_4_rpm
1790201449.101859,0.036189,,,,,,,,
1790201449.280545,0.214873,,,,,,,,
1790201449.280602,0.214934,,,,,,,,
1790201449.366076,0.300406,39,-11.38,-0.49,-0.79,1,0,-3,1
1790201449.466136,0.400436,39,-11.38,-0.49,-0.79,-2,-1,-2,-5
1790201449.566078,0.500408,39,-11.38,-0.49,-0.79,-1,2,0,4
1790201449.666101,0.600429,39,-11.38,-0.49,-0.79,0,-3,0,8
1790201449.766083,0.700412,39,-11.38,-0.49,-0.79,0,1,-2,-1
1790201449.866099,0.800428,39,-11.38,-0.49,-0.79,-4,-1,1,-4
1790201449.966105,0.900434,39,-11.39,-0.49,-0.79,1,-1,0,-3
1790201450.066116,1.000444,39,-11.39,-0.49,-0.79,1,0,4,2
1790201450.166126,1.100453,39,-11.39,-0.49,-0.79,-4,-4,-4,-1
1790201450.266123,1.200451,39,-11.39,-0.49,-0.79,-11,1,2,-4
1790201450.366347,1.300674,39,-11.38,-0.49,-0.79,-1,2,3,-3
1790201450.466173,1.400499,39,-11.38,-0.49,-0.79,-6,1,5,3
1790201450.566099,1.500428,39,-11.38,-0.49,-0.79,0,0,1,-1
1790201450.666317,1.600642,39,-11.38,-0.49,-0.79,2,-4,-3,-2
1790201450.766099,1.700428,39,-11.38,-0.49,-0.79,-2,3,-3,-1
1790201450.866116,1.800443,39,-11.39,-0.49,-0.79,2,1,-2,-5
1790201450.966183,1.900510,39,-11.38,-0.49,-0.79,-1,0,4,-2
1790201451.066192,2.000521,39,-11.39,-0.49,-0.79,-3,0,2,4
1790201451.166121,2.100448,39,-11.39,-0.49,-0.79,0,0,-2,-1
1790201451.266214,2.200540,39,-11.38,-0.49,-0.79,-6,-4,2,-2
1790201451.366140,2.300467,39,-11.38,-0.49,-0.79,1,-6,1,-4
1790201451.466154,2.400481,39,-11.38,-0.49,-0.79,-2,0,-1,0
1790201451.566165,2.500493,39,-11.39,-0.49,-0.79,3,1,-5,2
1790201451.666207,2.600532,39,-11.46,-0.41,-0.78,38,-23,-28,26
1790201451.766175,2.700500,39,-11.64,-0.3,-0.7,86,-74,-67,87
1790201451.866181,2.800505,39,-11.67,-0.34,-0.71,89,-84,-70,90
1790201451.966136,2.900464,39,-11.61,-0.38,-0.78,56,-48,-62,52
1790201452.066706,3.001034,39,-11.65,-0.35,-0.79,34,-36,-40,36
1790201452.167999,3.102327,39,-11.64,-0.28,-0.77,47,-53,-55,48
1790201452.266609,3.200937,39,-11.68,-0.31,-0.81,65,-69,-73,69
1790201452.366216,3.300544,39,-11.67,-0.35,-0.83,63,-62,-65,59
